device,故障小时,故障星期,故障月份,故障季度,是否周末,是否工作日高峰,维修时长_小时,响应时间_小时,维修类型,历史次数,上次间隔_小时,平均间隔_小时,间隔标准差_小时,近期趋势_比值,最近3次平均_小时,最近3次趋势,运行天数,故障频率_次每天,故障加速比,平均维修时长_小时,响应时间趋势,车站编码,品牌编码,线路编码,故障间隔_小时
1000001502,17,0,3,1,0,1,0.1,0.0,0,1,1198.7488888888888,1198.7488888888888,0.0,0.999999999991658,1198.7488888888888,1.0,90.08460648148149,0.011100675676543784,1.0,0.1,-0.07111111111111111,204,4,19,963.2816666666666
1000001502,16,3,4,2,0,0,0.3,0.10083333333333333,0,2,963.2816666666666,1081.0152777777778,117.73361111111109,0.8910897805606923,1081.0152777777778,1.0,121.0209375,0.016526065995811676,1.0,0.1,0.06527777777777777,204,4,19,742.4719444444445
1000001502,19,1,5,2,0,1,0.18,0.0,0,3,742.4719444444445,968.1675,186.30631771969956,0.7668837721125483,968.1675,1.0,140.16679398148148,0.021403072117040456,1.0,0.16666666666666666,-0.05731481481481482,204,4,19,459.50055555555554
1000001502,19,1,6,2,0,1,0.17,0.25,0,4,459.50055555555554,841.0007638888889,273.0323595037118,0.5463735293477093,721.7513888888889,1.0,161.1425,0.02482275005042121,1.0,0.16999999999999998,0.2070138888888889,204,4,19,503.4169444444444
1000001502,14,2,7,3,0,0,0.17,0.8333333333333334,0,5,503.4169444444444,773.484,279.0544554258957,0.6508433845275868,568.4631481481482,1.0,203.93347222222224,0.024517799581971516,1.0,0.16999999999999998,0.7489444444444445,204,4,19,1026.9833333333333
1000001592,15,6,5,2,1,0,0.17,0.11666666666666667,0,1,557.7,557.7,0.0,0.9999999999820692,557.7,1.0,128.93333333333334,0.0077559462254395035,1.0,0.32,-0.3666666666666667,30,4,19,2536.7
1000001592,11,4,6,2,0,0,0.13,0.0,0,2,2536.7,1547.1999999999998,989.4999999999999,1.6395423991621023,1547.1999999999998,1.0,175.7627662037037,0.011378974302680585,1.0,0.245,-0.3,30,4,19,1123.9063888888888
1000001592,7,0,11,4,0,1,0.1,1.45,0,3,1123.9063888888888,1406.1021296296294,832.2003272726911,0.7993063698558905,1406.1021296296294,1.0,318.5986111111111,0.009416236905545553,1.0,0.20666666666666667,1.25,30,4,19,3428.0602777777776
1000001615,11,1,4,2,0,0,1.18,0.07027777777777777,0,1,3773.0041666666666,3773.0041666666666,0.0,0.9999999999973497,3773.0041666666666,1.0,157.81269675925927,0.006336625762916173,1.0,0.15,0.07027777777777777,153,4,19,14.500555555555556
1000001615,15,0,7,3,0,0,0.2,0.19555555555555557,0,2,14.500555555555556,1893.752361111111,1879.2518055555556,0.0076570494924537835,1893.752361111111,1.0,275.9831712962963,0.00724681867595758,1.0,0.6649999999999999,0.16041666666666668,153,4,19,2836.091388888889
1000001615,18,1,9,3,0,1,0.2,0.0,0,4,0.24055555555555555,1655.9591666666665,1681.545575142307,0.0001452665985951362,950.2775,1.0,312.1164699074074,0.012815728696363386,1.0,0.4149999999999999,-0.06770833333333334,153,4,19,866.9586111111112
1000001615,12,3,9,3,0,0,0.18,0.0,0,5,866.9586111111112,1498.1590555555554,1536.7758188139392,0.5786826224428048,1234.4301851851853,1.0,313.8574652777778,0.015930798381917657,1.0,0.37199999999999994,-0.054166666666666675,153,4,19,41.78388888888889
1000001615,14,0,10,4,0,0,0.1,0.03333333333333333,0,6,41.78388888888889,1255.429861111111,1504.2120551707317,0.03328253547480182,302.9943518518519,0.13723407048123235,366.92326388888887,0.016352192925594686,190.7815486981006,0.3399999999999999,-0.011805555555555562,153,4,19,1273.5791666666667
1000001658,10,1,10,4,0,0,0.32,0.09416666666666666,0,1,2866.055277777778,2866.055277777778,0.0,0.9999999999965109,2866.055277777778,1.0,125.06495370370371,0.0079958451219607,1.0,0.2,-0.15361111111111114,193,4,19,135.5036111111111
1000001658,21,0,10,4,0,0,0.3,0.0,0,2,135.5036111111111,1500.7794444444446,1365.2758333333336,0.09028882399196816,1500.7794444444446,1.0,131.5542939814815,0.015202848492969254,1.0,0.26,-0.17097222222222222,193,4,19,155.74416666666667
1000001658,8,3,10,4,0,1,0.22,0.03333333333333333,0,3,155.74416666666667,1052.434351851852,1282.4502764213016,0.14798468559216174,1052.434351851852,1.0,133.98832175925926,0.022390011014468768,1.0,0.2733333333333334,-0.08064814814814814,193,4,19,58.416666666666664
1000029880,14,1,8,3,0,0,0.5,0.13722222222222222,0,1,2251.994722222222,2251.994722222222,0.0,0.9999999999955596,2251.994722222222,1.0,103.00555555555556,0.009708214227927297,1.0,0.18,-0.17194444444444443,244,1,2,220.13861111111112
1000029919,13,0,8,3,0,0,0.25,0.05,1,1,4321.083611111111,4321.083611111111,0.0,0.9999999999976857,4321.083611111111,1.0,185.19583333333333,0.005399689517852723,1.0,0.22,-0.033055555555555546,77,1,2,123.61638888888889
1000029919,11,2,8,3,0,0,0.17,0.4141666666666667,0,2,123.61638888888889,2222.35,2098.733611111111,0.05562417660959464,2222.35,1.0,187.1271875,0.010687917809912042,1.0,0.235,0.34763888888888894,77,1,2,46.3525
1000029919,16,5,8,3,1,0,0.13,0.39666666666666667,0,3,46.3525,1497.0175,1997.1654041125778,0.030963231892539914,1497.0175,1.0,190.33833333333334,0.015761407318546798,1.0,0.21333333333333335,0.21425925925925923,77,1,2,77.0675
1000029919,19,2,11,4,0,1,1.92,0.07861111111111112,0,4,77.0675,1142.03,1835.6335729134144,0.06748290325063717,82.34546296296297,1.0,264.4446412037037,0.01512603916567464,1.0,0.1925,-0.15736111111111112,77,1,2,1778.5513888888888
1000029919,14,6,11,4,1,0,0.5,1.5,0,5,1778.5513888888888,1269.3342777777777,1661.4650185205767,1.4011686440774178,633.990462962963,1.0,275.2673611111111,0.018164158583195634,1.0,0.538,1.2954999999999999,77,1,2,259.7452777777778
1000029976,15,4,3,1,0,0,0.83,0.185,0,1,1830.6822222222222,1830.6822222222222,0.0,0.9999999999945376,1830.6822222222222,1.0,77.27006944444445,0.012941621603161351,1.0,0.23,0.11722222222222221,228,1,2,23.799444444444443
