设备编号,维修时长_小时,维修响应_小时,累计故障次数,设备总故障次数,设备故障频率_次每天,最近3次平均间隔,上次故障间隔_小时,上次维修时长_小时,设备平均故障间隔,设备平均维修时长,故障小时,故障星期,是否周末,故障间隔_小时
1000001414,0.5,0.0,84,7,0.027801988062797187,1380.4944444444445,1389.25,0.85,926.25,0.5342857142857144,10,1,0,1220.3333333333333
1000001414,0.23,0.03333333333333333,84,7,0.027801988062797187,1476.9166666666667,1220.3333333333333,0.5,926.25,0.5342857142857144,8,0,0,1821.1666666666667
1000001414,0.32,0.016666666666666666,84,7,0.027801988062797187,1030.5833333333333,1821.1666666666667,0.23,926.25,0.5342857142857144,10,2,0,50.25
1000001414,0.68,0.06666666666666667,84,7,0.027801988062797187,633.75,50.25,0.32,926.25,0.5342857142857144,16,3,0,29.833333333333332
1000001415,0.33,0.0,98,6,0.02477168382462565,2901.9977777777776,407.2986111111111,0.23,1452.5144444444443,0.5583333333333333,12,6,1,2901.9977777777776
1000001415,0.5,0.0,98,6,0.02477168382462565,2064.0405555555553,2901.9977777777776,0.33,1452.5144444444443,0.5583333333333333,14,1,0,1226.0833333333333
1000001415,0.17,0.03333333333333333,98,6,0.02477168382462565,2184.8214814814814,1226.0833333333333,0.5,1452.5144444444443,0.5583333333333333,16,4,0,2426.383333333333
1000001415,2.0,0.2,98,6,0.02477168382462565,1330.4333333333332,2426.383333333333,0.17,1452.5144444444443,0.5583333333333333,19,4,0,338.8333333333333
1000001415,0.22,0.0,98,6,0.02477168382462565,1325.4999999999998,338.8333333333333,2.0,1452.5144444444443,0.5583333333333333,6,6,1,1211.2833333333333
1000001415,0.13,1.6611111111111112,98,6,0.02477168382462565,720.2074074074072,1211.2833333333333,0.22,1452.5144444444443,0.5583333333333333,17,3,0,610.5055555555556
1000001416,0.33,0.0,129,20,0.06529894104616613,24.583333333333332,407.2986111111111,0.23,368.76958333333334,0.665,9,5,1,24.583333333333332
1000001416,2.05,0.03333333333333333,129,20,0.06529894104616613,71.125,24.583333333333332,0.33,368.76958333333334,0.665,7,3,0,117.66666666666667
1000001416,0.25,0.5,129,20,0.06529894104616613,440.75555555555553,117.66666666666667,2.05,368.76958333333334,0.665,11,3,0,1180.0166666666667
1000001416,0.33,0.0,129,20,0.06529894104616613,433.8055555555556,1180.0166666666667,0.25,368.76958333333334,0.665,15,3,0,3.7333333333333334
1000001416,0.33,0.08333333333333333,129,20,0.06529894104616613,410.5,3.7333333333333334,0.33,368.76958333333334,0.665,15,5,1,47.75
1000001416,1.08,0.08333333333333333,129,20,0.06529894104616613,79.82777777777778,47.75,0.33,368.76958333333334,0.665,11,6,1,188.0
1000001416,0.95,0.125,129,20,0.06529894104616613,87.01944444444445,188.0,1.08,368.76958333333334,0.665,12,0,0,25.308333333333334
1000001416,1.08,0.0,129,20,0.06529894104616613,310.22222222222223,25.308333333333334,0.95,368.76958333333334,0.665,9,2,0,717.3583333333333
1000001416,2.58,0.08333333333333333,129,20,0.06529894104616613,249.05555555555557,717.3583333333333,1.08,368.76958333333334,0.665,14,2,0,4.5
1000001416,0.25,0.08333333333333333,129,20,0.06529894104616613,241.5916666666667,4.5,2.58,368.76958333333334,0.665,17,2,0,2.9166666666666665
1000001416,0.72,0.0,129,20,0.06529894104616613,161.7055555555556,2.9166666666666665,0.25,368.76958333333334,0.665,14,1,0,477.7
1000001416,0.22,0.0,129,20,0.06529894104616613,543.5667592592594,477.7,0.72,368.76958333333334,0.665,12,0,0,1150.0836111111112
1000001416,0.5,0.07472222222222222,129,20,0.06529894104616613,575.1139814814816,1150.0836111111112,0.22,368.76958333333334,0.665,14,4,0,97.55833333333334
1000001416,0.17,0.11638888888888889,129,20,0.06529894104616613,933.583425925926,97.55833333333334,0.5,368.76958333333334,0.665,7,6,1,1553.1083333333333
1000001416,0.17,0.40694444444444444,129,20,0.06529894104616613,585.0475925925927,1553.1083333333333,0.17,368.76958333333334,0.665,16,3,0,104.47611111111111
1000001416,0.95,0.16666666666666666,129,20,0.06529894104616613,775.2915740740741,104.47611111111111,0.17,368.76958333333334,0.665,12,3,0,668.2902777777778
1000001416,0.42,0.5833333333333334,129,20,0.06529894104616613,347.5165740740741,668.2902777777778,0.95,368.76958333333334,0.665,18,0,0,269.78333333333336
1000001416,0.33,0.08333333333333333,129,20,0.06529894104616613,322.0800925925926,269.78333333333336,0.42,368.76958333333334,0.665,22,1,0,28.166666666666668
1000001416,0.42,1.0,129,20,0.06529894104616613,306.8444444444445,28.166666666666668,0.33,368.76958333333334,0.665,20,6,1,622.5833333333334
1000001416,0.17,0.0,129,20,0.06529894104616613,247.51944444444447,622.5833333333334,0.42,368.76958333333334,0.665,16,3,0,91.80833333333334
1000001417,0.08,0.0,31,6,0.01772853185595568,963.5833333333334,407.2986111111111,0.23,1514.3472222222224,0.24500000000000002,11,3,0,963.5833333333334
1000001417,0.2,0.0,31,6,0.01772853185595568,2688.5,963.5833333333334,0.08,1514.3472222222224,0.24500000000000002,8,5,1,4413.416666666667
1000001417,0.25,0.0,31,6,0.01772853185595568,1804.111111111111,4413.416666666667,0.2,1514.3472222222224,0.24500000000000002,20,6,1,35.333333333333336
1000001417,0.32,0.08888888888888889,31,6,0.01772853185595568,1703.2814814814817,35.333333333333336,0.25,1514.3472222222224,0.24500000000000002,9,6,1,661.0944444444444
1000001417,0.17,0.0,31,6,0.01772853185595568,610.7888888888889,661.0944444444444,0.32,1514.3472222222224,0.24500000000000002,17,4,0,1135.9388888888889
1000001417,0.45,0.25,31,6,0.01772853185595568,1224.5833333333333,1135.9388888888889,0.17,1514.3472222222224,0.24500000000000002,21,5,1,1876.7166666666667
1000001418,0.2,0.049166666666666664,55,7,0.02891691107146192,671.7508333333334,407.2986111111111,0.23,925.9285714285714,0.2342857142857143,14,5,1,671.7508333333334
1000001418,0.25,0.08333333333333333,55,7,0.02891691107146192,1208.9166666666667,671.7508333333334,0.2,925.9285714285714,0.2342857142857143,8,1,0,1746.0825
1000001418,0.17,0.09305555555555556,55,7,0.02891691107146192,1226.835648148148,1746.0825,0.25,925.9285714285714,0.2342857142857143,23,4,0,1262.673611111111
1000001418,0.25,0.043611111111111114,55,7,0.02891691107146192,1009.7629629629629,1262.673611111111,0.17,925.9285714285714,0.2342857142857143,19,5,1,20.532777777777778
1000001418,0.2,0.0,55,7,0.02891691107146192,733.0555555555557,20.532777777777778,0.25,925.9285714285714,0.2342857142857143,23,1,0,915.9602777777778
1000001418,0.17,0.07138888888888889,55,7,0.02891691107146192,542.6683333333334,915.9602777777778,0.2,925.9285714285714,0.2342857142857143,19,2,0,691.5119444444445
1000001418,0.4,0.016666666666666666,55,7,0.02891691107146192,926.8200925925927,691.5119444444445,0.17,925.9285714285714,0.2342857142857143,16,2,0,1172.9880555555555
1000001422,0.3,0.03333333333333333,188,12,0.033669267191062474,1019.0,407.2986111111111,0.23,797.7328935185186,0.25833333333333336,9,6,1,1019.0
1000001422,0.3,0.0,188,12,0.033669267191062474,545.125,1019.0,0.3,797.7328935185186,0.25833333333333336,9,2,0,71.25
1000001422,0.57,0.0,188,12,0.033669267191062474,375.81111111111113,71.25,0.3,797.7328935185186,0.25833333333333336,22,3,0,37.18333333333333
1000001422,0.17,0.23916666666666667,188,12,0.033669267191062474,1064.4758333333334,37.18333333333333,0.57,797.7328935185186,0.25833333333333336,11,6,1,3084.994166666667
1000001422,0.17,0.03333333333333333,188,12,0.033669267191062474,1076.0444444444445,3084.994166666667,0.17,797.7328935185186,0.25833333333333336,21,3,0,105.95583333333333
1000001422,0.25,0.0,188,12,0.033669267191062474,1287.05,105.95583333333333,0.17,797.7328935185186,0.25833333333333336,19,3,0,670.2
1000001422,0.43,0.0,188,12,0.033669267191062474,279.3241666666667,670.2,0.25,797.7328935185186,0.25833333333333336,9,6,1,61.81666666666667
1000001422,0.25,0.02638888888888889,188,12,0.033669267191062474,251.11342592592595,61.81666666666667,0.43,797.7328935185186,0.25833333333333336,6,0,0,21.323611111111113
1000001422,0.4,0.016666666666666666,188,12,0.033669267191062474,160.86111111111111,21.323611111111113,0.25,797.7328935185186,0.25833333333333336,21,2,0,399.44305555555553
1000001422,0.13,0.0,188,12,0.033669267191062474,1012.1833333333334,399.44305555555553,0.4,797.7328935185186,0.25833333333333336,21,6,1,2615.7833333333333
1000001422,0.08,0.03333333333333333,188,12,0.033669267191062474,1404.8421296296294,2615.7833333333333,0.13,797.7328935185186,0.25833333333333336,21,0,0,1199.3
1000001422,0.05,0.0,188,12,0.033669267191062474,1367.209351851852,1199.3,0.08,797.7328935185186,0.25833333333333336,19,5,1,286.5447222222222
1000001423,0.42,0.0,295,16,0.04299228545981873,23.05,407.2986111111111,0.23,559.6803125,0.455625,15,4,0,23.05
1000001423,1.75,0.0,295,16,0.04299228545981873,12.15,23.05,0.42,559.6803125,0.455625,16,4,0,1.25
1000001423,0.47,0.0,295,16,0.04299228545981873,169.72222222222223,1.25,1.75,559.6803125,0.455625,21,3,0,484.8666666666667
1000001423,0.33,0.08333333333333333,295,16,0.04299228545981873,183.36111111111111,484.8666666666667,0.47,559.6803125,0.455625,13,6,1,63.96666666666667
1000001423,0.83,0.15472222222222223,295,16,0.04299228545981873,599.8928703703704,63.96666666666667,0.33,559.6803125,0.455625,16,2,0,1250.8452777777777
